iter,val,proj,gnorm,dnorm,step,maxstep
1.0,40.000000000000455,0.0,538.9384418824555,13.983903611075604,0.1353972669569013,1.0
2.0,-321.61087788552913,0.0,533.972523585672,12.042739139451443,0.13526456492920239,1.0
3.0,-612.659697284671,0.0,530.0284046443999,10.365489004222828,0.1352285937900249,1.0
4.0,-848.4989897766113,0.0,526.8718568303224,8.946194079054395,0.1353686853991434,1.0
5.0,-1040.9461977170931,0.0,524.3321631413838,7.734879531486504,0.1356766521047108,1.0
6.0,-1198.9735572433588,0.0,522.2792117563408,6.688325030271197,0.13605390139007612,1.0
7.0,-1329.385670295224,0.0,520.6130461779377,5.7783900892714986,0.13773899600954423,1.0
8.0,-1438.4973550895165,0.0,519.2679642627864,5.009917555336009,0.14565626514406213,1.0
9.0,-1534.1339966849773,0.0,518.2139350478864,4.360452778933892,0.15735510189708618,1.0
10.0,-1619.3153567608952,0.0,517.3774767645057,3.776636992028779,0.1705048689486118,1.0
11.0,-1694.603545681126,0.0,516.6974267857873,3.217523878455364,0.18324743276762762,1.0
12.0,-1759.7512627888627,0.0,516.1430601272154,2.7320209075169366,0.21055623622761674,1.0
13.0,-1819.30658848962,0.0,515.6133918925267,2.329010175225198,0.2601136605908476,1.0
14.0,-1876.0548170047841,0.0,515.0588383900803,1.928447641115528,0.33521814477085193,1.0
15.0,-1929.0299489027857,0.0,514.4711730074071,1.460056024201648,0.44074942697950537,1.0
16.0,-1974.4573571748879,0.0,513.9106547269324,1.0454844200587194,0.7084670998143996,1.0
17.0,-2014.6803968318643,0.0,513.3564966121721,0.7152080703340569,1.0,1.0
18.0,-2031.3093736198707,0.0,513.153523490985,0.38483173213621,1.0,1.0
19.0,-2031.432213455361,0.0,513.0620409090847,0.21875552646551244,0.6640937968496613,1.0
20.0,-2031.4492204863034,0.0,513.0853963649392,0.12009665252177092,0.5357706303127946,1.0
21.0,-2031.4532393667785,0.0,513.0870296184476,0.06862443844865587,0.6454126574417238,1.0
22.0,-2031.454885872853,0.0,513.0945837561686,0.05474531479532709,0.5979870496018221,1.0
23.0,-2031.4558154289775,0.0,513.0914075024558,0.04348564880650131,0.6928757479173142,1.0
24.0,-2031.4564923127891,0.0,513.0965944583844,0.04184553902160274,0.6277512309889914,1.0
25.0,-2031.4570463458872,0.0,513.0918853720216,0.03734960259701158,0.7104106338540146,1.0
26.0,-2031.4575462023809,0.0,513.0971182693023,0.038231624689922805,0.6373519597124342,1.0
27.0,-2031.4580124829713,0.0,513.0917287800041,0.03541708646208326,0.7165921827511049,1.0
28.0,-2031.458463764396,0.0,513.097347102683,0.03705071035667729,0.640411126300559,1.0
29.0,-2031.4589033783714,0.0,513.0915257059818,0.034758029801396105,0.7186924893440704,1.0
30.0,-2031.459338848023,0.0,513.0974834797265,0.03664564642449553,0.6413004066856076,1.0
31.0,-2031.4597694553472,0.0,513.0913650311259,0.03452440644851755,0.7194231220826317,1.0
32.0,-2031.4601993483675,0.0,513.0975712652299,0.036502810567858576,0.6415087543003827,1.0
33.0,-2031.460626763267,0.0,513.0912504492742,0.03443786630473409,0.719738315314971,1.0
34.0,-2031.4610545882738,0.0,513.097628978262,0.03608848573321826,0.6469374346301188,1.0
35.0,-2031.4614837119482,0.0,513.0910824465482,0.03401690968566105,0.7217286631620057,1.0
36.0,-2031.4619036294916,0.0,513.0978040182886,0.03570449732844596,0.6500459844530206,1.0
37.0,-2031.4623263296685,0.0,513.0910507833784,0.03383762278977138,0.7250721737499344,1.0
38.0,-2031.4627425225244,0.0,513.09797595868,0.03569006372879778,0.6496850950838082,1.0
39.0,-2031.4631646956188,0.0,513.0909685287605,0.03378249074990648,0.7273277755363114,1.0
40.0,-2031.4635805704227,0.0,513.098073303825,0.035731022461949175,0.6484370010840058,1.0
41.0,-2031.464002950419,0.0,513.0909055335338,0.033739195864815406,0.7294948935325851,1.0
42.0,-2031.4644189346427,0.0,513.0981404055768,0.03578040638217534,0.6469501215142223,1.0
43.0,-2031.4648415207507,0.0,513.0908680297572,0.03369665606615773,0.731683043903161,1.0
44.0,-2031.4652576692908,0.0,513.0981887353369,0.03583186508655905,0.6453732051140294,1.0
45.0,-2031.4656804483309,0.0,513.0908478005094,0.03365322229589012,0.7339290533197176,1.0
46.0,-2031.4660967755756,0.0,513.0982248900428,0.03588478865589479,0.6437347320582384,1.0
47.0,-2031.4665197501763,0.0,513.0908383432261,0.03360838680534478,0.7362577050172807,1.0
48.0,-2031.4669362673344,0.0,513.098253483533,0.03413018179453225,0.5776069284222975,1.0
49.0,-2031.4673114821194,0.0,513.091817807298,0.024963603124381156,0.619476221396206,1.0
50.0,-2031.4675466495282,0.0,513.0970803140539,0.019571087115366006,0.5662599948348443,1.0
51.0,-2031.4676792793991,0.0,513.0936676591574,0.014676486679208366,0.7148013649933954,1.0
52.0,-2031.4677722295633,0.0,513.0966774294675,0.01478770757736174,0.615313976938617,1.0
53.0,-2031.46784392981,0.0,513.0939415760499,0.01325338723952447,0.746416520497345,1.0
54.0,-2031.4679116246612,0.0,513.0966145020578,0.014503941479715156,0.6194770178377358,1.0
55.0,-2031.4679772435327,0.0,513.0939662519127,0.013197041285900376,0.7475840096341152,1.0
56.0,-2031.4680425563752,0.0,513.0965814917074,0.014494227872690342,0.619583577051759,1.0
57.0,-2031.468107682922,0.0,513.0939749512357,0.013194228016413937,0.7476142780134557,1.0
58.0,-2031.4681727786196,0.0,513.0965639800838,0.014492993860016358,0.61958800645209,1.0
59.0,-2031.4682378541738,0.0,513.0939801641409,0.013193560791433863,0.7476177992353777,1.0
60.0,-2031.4683029250732,0.0,513.0965544664579,0.014492549297223564,0.6195895282381879,1.0
61.0,-2031.468367992916,0.0,513.0939830929316,0.013193300399820763,0.7476194015691412,1.0
62.0,-2031.4684330596087,0.0,513.0965491461112,0.014492370179820158,0.6195902903941423,1.0
63.0,-2031.4684981255505,0.0,513.0939846493039,0.01319319484942122,0.7476201690945715,1.0
64.0,-2031.4685631910954,0.0,513.0965461295303,0.014492297540052757,0.6195906476985421,1.0
65.0,-2031.4686282563869,0.0,513.0939854525928,0.013193151915725072,0.7476205188069757,1.0
66.0,-2031.468693321522,0.0,513.0965444104843,0.014492268022763611,0.6195908075492467,1.0
67.0,-2031.468758386563,0.0,513.0939858604962,0.013193134416804565,0.747620672702213,1.0
68.0,-2031.468823451539,0.0,513.0965434306246,0.014492255991361936,0.6195908770261273,1.0
69.0,-2031.4688885164767,0.0,513.0939860666617,0.013193127256782013,0.7476207388918019,1.0
70.0,-2031.4689535813882,0.0,513.0965428745956,0.014492251055784841,0.6195909066566158,1.0
71.0,-2031.4690186462844,0.0,513.0939861727667,0.013193124300433361,0.7476207669214202,1.0
72.0,-2031.469083711169,0.0,513.0965425627761,0.014492249001411415,0.6195909191305414,1.0
73.0,-2031.4691487760485,0.0,513.0939862310348,0.013193123053481158,0.7476207786631491,1.0
74.0,-2031.4692138409223,0.0,513.0965423923029,0.014492248117440378,0.6195909243342889,1.0
75.0,-2031.469278905793,0.0,513.0939862676718,0.013193122501713579,0.747620783543572,1.0
76.0,-2031.469343970662,0.0,513.0965423040034,0.014492247709068456,0.6195909264907669,1.0
