iter,val,proj,gnorm,dnorm,xnorm,step,maxstep
1.0,4.0,1.0,3537.3769447668424,188.3310266605585,14.142135623730951,0.02416184376130319,0.02416184376130319
2.0,-830.8174005989167,2.0,3535.9190871341775,177.6013550684299,14.849682538315825,2.457349714562263e-05,2.457349714562263e-05
3.0,-831.5924843280118,2.0,3535.9177970294945,176.49901036598803,14.851021284235685,0.004181068346908277,0.004181068346908277
4.0,-961.2815798618321,2.0,3535.7029185111196,174.1805130179966,15.089762506719975,3.384586468964973e-05,3.384586468964973e-05
5.0,-962.3083892404829,2.0,3535.7012399121763,173.35905085619902,15.091808760423831,0.00019765916896521572,0.00019765916896521572
6.0,-968.2475150450337,2.0,3535.6916017780454,172.48489370669546,15.103578140203092,3.431748415483193e-05,3.431748415483193e-05
7.0,-969.2684603268863,2.0,3535.689957950995,171.66470541174297,15.105627565006499,0.00026824212166249873,0.00026824212166249873
8.0,-977.1710680370124,2.0,3535.677331946813,170.80318899141966,15.121418554131045,3.5672940492786304e-05,3.5672940492786304e-05
9.0,-978.211743401127,2.0,3535.6756481646753,170.01966374632775,15.123526545846106,0.0008999433226792256,0.0008999433226792256
10.0,-1004.2026295983742,2.0,3535.6330249184857,168.9513708129951,15.176441910961605,3.7186513868647665e-05,3.7186513868647665e-05
11.0,-1005.2640631354006,2.0,3535.6312998752464,168.17405157466777,15.17865332175208,5.315324849046372e-05,5.315324849046372e-05
12.0,-1006.7672905363397,2.0,3535.6288762102145,167.38858071028105,15.181761397683974,3.73189837612046e-05,3.73189837612046e-05
13.0,-1007.8128899435069,2.0,3535.6272041729944,166.60499945249782,15.183945846867179,0.0014919110674467865,0.0014919110674467865
14.0,-1049.1624571589346,2.0,3535.5615889294386,165.4383143258107,15.271506755927529,4.223647415755784e-05,4.223647415755784e-05
15.0,-1050.3184140169687,2.0,3535.5597241374157,164.75163320537473,15.274029758677987,0.003295085683252544,0.003295085683252544
16.0,-1139.4631334753321,2.0,3535.4129613639802,163.0895941524395,15.476071997362078,5.0592102722521644e-05,5.0592102722521644e-05
17.0,-1140.8087258482228,2.0,3535.4107746006484,162.49148426422175,15.47927986988742,0.000739133180855677,0.000739133180855677
18.0,-1160.3101171847302,2.0,3535.3793307088586,161.71959020253283,15.525902194142532,5.416228113929177e-05,5.416228113929177e-05
19.0,-1161.7265598172235,2.0,3535.3770110777486,161.16692521156762,15.52934475223851,0.0006808116371352177,0.0006808116371352177
20.0,-1179.3985613189761,2.0,3535.3475785204855,160.43523128500132,15.572394320505966,9.779407130305139e-06,9.779407130305139e-06
21.0,-1179.6502755972651,2.0,3535.3471552464616,159.88924605867368,15.573016547447864,4.6710049468554075e-05,4.6710049468554075e-05
22.0,-1180.8443435070549,2.0,3535.345162790304,159.35591180466065,15.57599004550918,8.42433569954325e-06,8.42433569954325e-06
23.0,-1181.0582719163358,2.0,3535.344801984007,158.80565113343118,15.576519588486029,7.860724095804407e-05,7.860724095804407e-05
24.0,-1183.040534257816,2.0,3535.3414846604674,158.20482759090777,15.581398179986905,5.399278229975655e-05,5.399278229975655e-05
25.0,-1184.3918356592148,2.0,3535.3391914155063,157.60972465539882,15.584753066328753,0.0036661760874190674,0.0036661760874190674
